name,label
dataset\train\Hoạt_Động_Quốc_Tế\singapore1.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\Tai_tang_100_Sky_Hong_Kong.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\thai1Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\thai2Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\thai3Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\THAILANCopy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\thuvien.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\trungquoc.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\truongtieuhoc2Copy.jpg,1
dataset\train\Hoạt_Động_Trong_Nước\20170106_112944ok.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180414_101057ok-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180414_110047 ok-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180420_191003 ok-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180420_191003 ok.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180503_155648ok.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\20180518_090644OK-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\ban nhac-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\cactinh1.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\cao lanh 5-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\coa lanh 3-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\ford mien Tay.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\heineken.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\hoat dong trogn nuoc- minh long.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\hoat dong trogn nuoc.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\Logan_Anjaneyulu_Alamo_Equity_5@2x.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\maybay-min.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\mo-rong-dau-tu-Ford.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\ngaymoisaigon_sheraton_intercontinental_ket_noi_kinh_doanh_2.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\P1010188 ok.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\RuudGullit.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\thumbs,2
dataset\train\Hoạt_Động_Trong_Nước\tinh3.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\tinh4.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\tinh5.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\tinh6.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\tinh7.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\tinh8.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\trongnuoc1.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\trongnuoc2.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\trongnuoc3.jpg,2
dataset\train\Hoạt_Động_Trong_Nước\trongnuoc4.jpg,2
dataset\train\Human\9134maiok.jpg,3
dataset\train\Human\Buiquanghau.jpg,3
dataset\train\Human\gai.jpg,3
dataset\train\Human\holethu.jpg,3
dataset\train\Human\mr_Grinworth.jpg,3
dataset\train\Human\thuy.jpg,3
dataset\train\Human\truong.jpg,3
dataset\train\Hợp_Tác\baemin.png,4
dataset\train\Hợp_Tác\bigbowl.png,4
dataset\train\Hợp_Tác\CFC gif.gif,4
dataset\train\Hợp_Tác\cuong_phat.png,4
dataset\train\Hợp_Tác\eurohome.png,4
dataset\train\Hợp_Tác\ford.png,4
dataset\train\Hợp_Tác\ic-ambassador.png,4
dataset\train\Hợp_Tác\JWMARRIOTT.png,4
dataset\train\Hợp_Tác\ksmaihouse.webp,4
dataset\train\Hợp_Tác\linhchi.png,4
dataset\train\Hợp_Tác\logo-ar-group-jsc.png,4
dataset\train\Hợp_Tác\logo-EC-HL.png,4
dataset\train\Hợp_Tác\LOGO-LPD.jpg,4
dataset\train\Hợp_Tác\logo-vtpv-min.png,4
dataset\train\Hợp_Tác\minh_long.png,4
dataset\train\Hợp_Tác\new_world.png,4
dataset\train\Logo\logotmai_X_56-removebg-preview.png,6
dataset\train\Logo\logotmai_X_56.png,6
dataset\train\Logo\logo_tmaisaigon.ico,6
dataset\train\Logo\logo_tmaisaigon.jpg,6
dataset\train\Logo\lonicerasaigon.png,6
dataset\train\Main_page\12.jpg,7
dataset\train\Main_page\344X3085@2x.jpg,7
dataset\train\Main_page\344X3090@2x.jpg,7
dataset\train\Main_page\344X3127@2x.jpg,7
dataset\train\Main_page\hinh_trang_chu_2.jpg,7
dataset\train\Main_page\IMG_0894@2x.jpg,7
dataset\train\Main_page\ngaymoisaigon_le_ky_niem_3_nam_TMAI_SAIGON_1@2x.jpg,7
dataset\train\Main_page\ngaymoisaigon_le_ky_niem_3_nam_TMAI_SAIGON_8@2x.jpg,7
dataset\train\Main_page\ngaymoisaigon_TMAI_SAIGON_ky_niem_3_nam.jpg,7
dataset\train\Main_page\trangchu.jpg,7
dataset\train\Sản_Phẩm_Hợp_Tác_-_Dự_Án_Sách\BNI.png,8
dataset\train\Sản_Phẩm_Hợp_Tác_-_Dự_Án_Sách\Masterspice.png,8
dataset\train\Sản_Phẩm_Hợp_Tác_-_Dự_Án_Sách\nhip_song.png,8
dataset\train\Sản_Phẩm_Hợp_Tác_-_Dự_Án_Sách\vietnhat.png,8
dataset\train\Sản_Phẩm_Websites\ahamua.JPG,9
dataset\train\Sản_Phẩm_Websites\inhoadonbieumau.JPG,9
dataset\train\Sản_Phẩm_Websites\lonicerasaigon.jpg,9
dataset\train\Sản_Phẩm_Websites\web_nmsg.png,9
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_1_2_15.png,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_4_5_16.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_BIA 1_TGD Ford VN - 05_12_2019.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia1_hay_yeu_va_tan_huong_cong_viec_Becamex_1_7_2019.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia9-10_15.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia_6_7_16.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia_Chau Ngoc Bich_9_18.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia_ngaymoi_9_10_16_j.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_bia_thuy_dung_3_4_17.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_Ly_Ngoc_Bach_Cuong_Phat_1_2_18.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymoisaigon_thang_5_6_15.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\ngaymosaigon_bia_so_1_11_12_14.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\saigon_newday_14_1_17_JPG.jpg,10
dataset\train\Sản_Phẩm_Đầu_Tư\saigon_newday_9_7_23.jpg,10
dataset\train\Sự_Kiện_Quốc_Tế\chao_don_le_hoi_am_thuc_My.jpg,11
dataset\train\Sự_Kiện_Quốc_Tế\Dai_Dong_Du_lich_Viet.jpg,11
dataset\train\Sự_Kiện_Quốc_Tế\hoi_nghi_invest_asean_2015.jpg,11
dataset\train\Sự_Kiện_Quốc_Tế\hoi_nghi_thuong_dinh_phu_nu_toan_cau.jpg,11
dataset\train\Sự_Kiện_Quốc_Tế\vientrangphucViet_23_2_1.jpg,11
dataset\train\Sự_Kiện_Quốc_Tế\Viet_nhat.jpg,11
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\12.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\chia se kinh nghiem thanh cong.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\chia se trogn thong diep quang cao.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\cuoc song xanh (2).jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\dn voi cong  dong.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\gaii quyet tranh chap trogn thuong mai.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\hop tac cugn phat trien.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\hotthb_thumbnail (24).jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\ket_noi_kinh_doanh_Bao_ve_suc_khoe_21_2_2020.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD - DN VA SUC KHOE.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD 12.12.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD 7.9.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD 8.3.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD HOMESTAY.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\KNKD ngay moi saigon.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\ngaymoisaigon_le_ky_niem_3_nam_TMAI_SAIGON_7@2x.jpg,12
dataset\train\Tổ_Chức_Sự_Kiện_Kết_Nối_Kinh_Doanh\xay dung thuong hieu thoi hoi nhap.jpg,12
